id,type,text1,text2,text3,text4,notes
,,,,,,
SK_COL_ViperMk5,SHIP,"""Built by Colonial Defense Tech Corp., preparing the future of humanity one world at a time."" A space superiority fighter, the Viper is the CDTC’s first line of defense in any major fleet engagement. With the continuing success of the Viper platform, the CDTC decided to invest heavily in the MkV generation of Vipers, adding not just a better engine and tougher armor, but also an additional Viper Cannon to bring its weapon count to three cannons and a single anti-fighter missile launcher.",,,,
SK_COL_ViperMk4,SHIP,"""Built by Colonial Defense Tech Corp., preparing the future of humanity one world at a time."" A space superiority fighter, the Viper is the CDTC’s first line of defense in any major fleet engagement. Faster and tougher, the MkIV is a direct upgrade from the MkIII, sporting two Viper Cannons and an anti-fighter missile launcher.",,,,
SK_COL_ViperMk3,SHIP,"""Built by Colonial Defense Tech Corp., preparing the future of humanity one world at a time."" A space superiority fighter, the Viper is the CDTC’s first line of defense in any major fleet engagement. Faster and tougher, the MkIII is a direct upgrade from the MkII, sporting two Viper Cannons and an anti-fighter missile launcher.",,,,
SK_COL_ViperMk2,SHIP,"""Built by Colonial Defense Tech Corp., preparing the future of humanity one world at a time."" A space superiority fighter, the Viper is the CDTC’s first line of defense in any major fleet engagement. With the major success of its predecessor, the MkII was designed to work as a direct upgrade, being faster and tougher to take out. More importantly, this newer version included a new anti-fighter missile launcher to help give it that extra edge in combat.",,,,
SK_COL_ViperMk1,SHIP,"""Built by Colonial Defense Tech Corp., preparing the future of humanity one world at a time."" A space superiority fighter, the Viper is the CDTC’s first line of defense in any major fleet engagement. The MkI was the first iteration Viper, setting the tone for the future of all CDTC fighter technology. It’s fast, reasonably armored, and well-armed, making it a viable choice in any skirmish.",,,,
,,,,,,
SK_COL_ViperMk8,SHIP,"""Built by Colonial Defense Tech Corp., preparing the future of humanity one world at a time."" The pinnacle of CDTC fighter technology, the VIII is the fastest fighter-craft ever made. Sporting decent armor, four Viper Cannons, and an anti-fighter missile launcher, the VIII is an interceptor capable of stopping just about anything in its tracks.",,,,
SK_COL_ViperMk7,SHIP,"""Built by Colonial Defense Tech Corp., preparing the future of humanity one world at a time."" An interceptor fighter-craft built upon the successful innovations of the Viper platform. Weaker with less armor, but considerably faster, the new generation of Vipers are designed around getting to a target as fast as possible and then getting out of there just as quickly. Armed with three Viper Cannons and an anti-fighter missile launcher, the MkVII can deliver a solid punch in very little time.",,,,
SK_COL_ViperMk6,SHIP,"""Built by Colonial Defense Tech Corp., preparing the future of humanity one world at a time."" An interceptor fighter-craft built upon the successful innovations of the Viper platform. Weaker with less armor, but considerably faster, the new generation of Vipers are designed around getting to a target as fast as possible and then getting out of there just as quickly. Armed with two Viper Cannons and an anti-fighter missile launcher, the MkVI can deliver a solid punch in very little time.",,,,
SK_COL_ViperMk1S,SHIP,"""Built by Colonial Defense Tech Corp., preparing the future of humanity one world at a time."" A heavy interceptor capable of delivering a solid punch to any apposing fighter wing or missile barrage. After the success of the Viper MkI Heavy Fighter lineup, the CDTC decided a smaller and faster variant might be necessary to help catch those smaller more pesky targets. Less armor and weapons, but significantly faster cheaper overall, the MkIS is a fantastic option of interceptor class fighters in any fleet.",,,,
,,,,,,
SK_COL_CobraMk2,SHIP,"""Built by Colonial Defense Tech Corp., preparing the future of humanity one world at a time."" Perfecting the Cobra MkI, the MkII is fast, armored, and deadly. Combining the best technologies of the CDTC, the MkII is the ultimate killing machine, capable of annihilating any target with its three nuclear torpedo launchers, all while defending itself and able to act as a heavy fighter at need with its two Viper Cannons.",,,,
SK_COL_CobraMk1,SHIP,"""Built by Colonial Defense Tech Corp., preparing the future of humanity one world at a time."" Built upon the success of the Blackbird, the Cobra MkI is a prototype combination of all the things the CDTC learned from both its Viper platform and its existing bombers. Fast, heavily armored, and sporting two Viper Cannons alongside three nuclear torpedo launchers, the Cobra is a devastating bomber capable of annihilating any target.",,,,
SK_COL_Blackbird,SHIP,"""Built by Colonial Defense Tech Corp., preparing the future of humanity one world at a time."" Originally a stealth fighter designed for reconnaissance, the Blackbird is a retrofitted bomber developed to bring swift death to any opposing ship. Giving up any defensive weaponry, the Blackbird instead relies on speed and armor to ensure it reaches it target, whereupon it can release three nuclear torpedoes from its launchers, devastating just about any foe foolish enough to focus their point defense on something else.",,,,
SK_COL_Larsen,SHIP,"""Built by Colonial Defense Tech Corp., preparing the future of humanity one world at a time."" A direct upgrade of the successful Maui bomber, the Larsen is based on the Viper MkIII, giving up some speed in favor of a powerful set of armaments, including two nuclear torpedo launchers, allowing it to deliver the final killing blow to any armored vessel.",,,,
SK_COL_Maui,SHIP,"""Built by Colonial Defense Tech Corp., preparing the future of humanity one world at a time."" Based on the Viper MkII, the Maui is a bomber variant sporting two Viper Cannons alongside a nuclear torpedo launcher, capable of delivering a powerful punch against any armored foe.",,,,
